id,value,feed_id,created_at,lat,lon,ele
0F60Y06K72Y2VPGJNQA4WZ5YYT,350,2394998,2022-12-02 12:26:09 UTC,,,
0F60Y08TDNJSXFHVJJKCKK8ET4,349,2394998,2022-12-02 12:26:16 UTC,,,
0F60Y0B67XWV2EKR4GJPPKS1ZW,348,2394998,2022-12-02 12:26:24 UTC,,,
0F60Y0DDKA66GH85G9841S0Y15,346,2394998,2022-12-02 12:26:31 UTC,,,
0F60Y0FR59FFGF0KGD2PBQQHZJ,346,2394998,2022-12-02 12:26:39 UTC,,,
0F60Y0J1Q4CC2JTPQ1VNHCBJA8,344,2394998,2022-12-02 12:26:47 UTC,,,
0F60Y0K1YQGEM3E7HNT4H1P4CJ,344,2394998,2022-12-02 12:26:50 UTC,,,
0F60Y0NB8F923VTJ870QEFKX59,344,2394998,2022-12-02 12:26:57 UTC,,,
0F60Y0QNF48AFJFWK6BRQEER9Y,344,2394998,2022-12-02 12:27:05 UTC,,,
0F60Y0RTC1JVZGEBG791EDN727,342,2394998,2022-12-02 12:27:09 UTC,,,
0F60Y0V26P8MEA3A976AH1WG4E,342,2394998,2022-12-02 12:27:16 UTC,,,
0F60Y0XEGKKF2XQRJV9ZJHPX26,339,2394998,2022-12-02 12:27:24 UTC,,,
0F60Y0ZT9V6C36H19BZZFN7EE4,339,2394998,2022-12-02 12:27:32 UTC,,,
0F60Y123ZAHM7ZAFZQ6PFR1YCW,341,2394998,2022-12-02 12:27:39 UTC,,,
0F60Y14B238C4SJHWJ1X6D9FWS,340,2394998,2022-12-02 12:27:47 UTC,,,
0F60Y16N22NWC0MN23MM0MFNDD,338,2394998,2022-12-02 12:27:54 UTC,,,
0F60Y17HF82KP8V8NJNRDWPM1H,338,2394998,2022-12-02 12:27:57 UTC,,,
0F60Y19R6EC670CH3SSTQ9JPD3,338,2394998,2022-12-02 12:28:04 UTC,,,
0F60Y1C2E3R71HGTQWMNVFNW45,338,2394998,2022-12-02 12:28:12 UTC,,,
0F60Y1EC50WDV59BG8Z4NXX97B,335,2394998,2022-12-02 12:28:19 UTC,,,
0F60Y1GJ4ZKRHPC10DJ3G4Z80G,331,2394998,2022-12-02 12:28:27 UTC,,,
0F60Y1HQ8Y5SY8CPX82A25TBKR,330,2394998,2022-12-02 12:28:30 UTC,,,
0F60Y1MMMF2KG4VRZ08PPAHNS6,331,2394998,2022-12-02 12:28:40 UTC,,,
0F60Y1PXXQ6TF67HRBFRHY124G,327,2394998,2022-12-02 12:28:47 UTC,,,
0F60Y1S9R6H8F8BDA3HK006857,328,2394998,2022-12-02 12:28:55 UTC,,,
0F60Y1VQDMQ4WPZR1YHBTWYGB1,327,2394998,2022-12-02 12:29:03 UTC,,,
0F60Y1XZ93QQ283ZCF2401CZ36,327,2394998,2022-12-02 12:29:11 UTC,,,
0F60Y24RENN0M12KQ30JNW0X0X,327,2394998,2022-12-02 12:29:33 UTC,,,
0F60Y271G3FF4FJ1TANFY1T562,326,2394998,2022-12-02 12:29:40 UTC,,,
0F60Y298Q83MSJ1DNVVENFMKYK,326,2394998,2022-12-02 12:29:48 UTC,,,
0F60Y2BG37W27G1CAM4PGB8TG0,324,2394998,2022-12-02 12:29:55 UTC,,,
0F60Y2DTRZZN9FTJBTCTQMP2QF,320,2394998,2022-12-02 12:30:03 UTC,,,
0F60Y2G4P12AGWSBPRJWM6EQJA,321,2394998,2022-12-02 12:30:10 UTC,,,
0F60Y2JFN7741CPPYPM25XZQDN,321,2394998,2022-12-02 12:30:18 UTC,,,
0F60Y2KC8S85W25Y56KB9JFZ3Q,320,2394998,2022-12-02 12:30:21 UTC,,,
0F60Y2NQ60GEXPJ9JWXJ15YC38,320,2394998,2022-12-02 12:30:28 UTC,,,
0F60Y2R1C3KEW7JC5BMSYWD57M,320,2394998,2022-12-02 12:30:36 UTC,,,
0F60Y2TAY9A4VVS6KTWHTR7PJH,318,2394998,2022-12-02 12:30:44 UTC,,,
0F60Y2WNBHNMDQ17P7B9STNHGW,319,2394998,2022-12-02 12:30:51 UTC,,,
0F60Y2Z2FXWR07EK19TJ7KCE7Y,319,2394998,2022-12-02 12:30:59 UTC,,,
0F60Y31CEZ0HNMWBPJ8Z0VS03P,318,2394998,2022-12-02 12:31:07 UTC,,,
0F60Y33WP9S9ZWE1H3M7359MR1,318,2394998,2022-12-02 12:31:15 UTC,,,
0F60Y366G03EN0Q5DM60PRZAAG,318,2394998,2022-12-02 12:31:22 UTC,,,
0F60Y38JF7VWR3FKDNWFC1SR00,319,2394998,2022-12-02 12:31:30 UTC,,,
0F60Y39J7G4VAGJP4BND3DP2GZ,319,2394998,2022-12-02 12:31:33 UTC,,,
0F60Y3BVEZEATFJDWVFBY12985,318,2394998,2022-12-02 12:31:41 UTC,,,
0F60Y3E4CYPFG5JFZVAN05YVVH,318,2394998,2022-12-02 12:31:48 UTC,,,
0F60Y3GCC9B1NZ78YTAB0B0DAJ,318,2394998,2022-12-02 12:31:56 UTC,,,
0F60Y3JPF5FDRD89601GEPTD7F,318,2394998,2022-12-02 12:32:03 UTC,,,
0F60Y3N3P317ATZYABXKE5EKFR,318,2394998,2022-12-02 12:32:11 UTC,,,
