id,value,feed_id,created_at,lat,lon,ele
0F60XF43M0R1B84HSJJN68A5A7,135,2394995,2022-12-02 11:56:18 UTC,,,
0F60XF6BVD5QBC38C5BX1YMFW5,135,2394995,2022-12-02 11:56:26 UTC,,,
0F60XF8RQ9KRX499733NERCA23,126,2394995,2022-12-02 11:56:34 UTC,,,
0F60XFB24WPJFEXN0MHV431GY5,126,2394995,2022-12-02 11:56:41 UTC,,,
0F60XFDDKBDD8K23RHT81RQ0AS,126,2394995,2022-12-02 11:56:49 UTC,,,
0F60XFED7RX5ZNXYTQ8G8K29WD,123,2394995,2022-12-02 11:56:52 UTC,,,
0F60XFGNW1ED5HSBEVWT5GH6MR,123,2394995,2022-12-02 11:57:00 UTC,,,
0F60XFJVVBSG80MYB3XYJ25JHB,123,2394995,2022-12-02 11:57:07 UTC,,,
0F60XFN7KDDVHHMVK6VPWJ55PW,120,2394995,2022-12-02 11:57:14 UTC,,,
0F60XFQGM2GXZ6NQC9BJ2NFNK2,116,2394995,2022-12-02 11:57:22 UTC,,,
0F60XFSWR3E7HA9Z0RRV4MZRAA,115,2394995,2022-12-02 11:57:30 UTC,,,
0F60XFW8NAKJ4R0DFQYRAP91Q6,116,2394995,2022-12-02 11:57:38 UTC,,,
0F60XFYQEAF9XRSG5BCJCP56D4,115,2394995,2022-12-02 11:57:46 UTC,,,
0F60XG12GE4AWGZRDNP1B8JDG7,113,2394995,2022-12-02 11:57:53 UTC,,,
0F60XG3B9QYCTYZJ9ER0GRAN1W,112,2394995,2022-12-02 11:58:01 UTC,,,
0F60XG5PMZBPZJR4RP272EA89V,112,2394995,2022-12-02 11:58:08 UTC,,,
0F60XG82B1CDD0RWEVMMR5T0E8,112,2394995,2022-12-02 11:58:16 UTC,,,
0F60XGACHVRKW2VQMQ863K7E10,112,2394995,2022-12-02 11:58:24 UTC,,,
0F60XGCMR4GMMGGS9BGDB7CQSA,112,2394995,2022-12-02 11:58:31 UTC,,,
0F60XGEYPGWQ2EGNWWQ4478FH9,112,2394995,2022-12-02 11:58:39 UTC,,,
0F60XGFWD0NBMNT3PS7A4EVCQ2,110,2394995,2022-12-02 11:58:42 UTC,,,
0F60XGJ3DS7QGRFQ7DF93JB7T2,109,2394995,2022-12-02 11:58:49 UTC,,,
0F60XGMBZ0E1HC3GEZKQNCFPA5,109,2394995,2022-12-02 11:58:57 UTC,,,
0F60XGPRR3KFEKFGV9GYQGE997,108,2394995,2022-12-02 11:59:04 UTC,,,
0F60XGS2CWWTCV96QVFNFSPKVH,108,2394995,2022-12-02 11:59:12 UTC,,,
0F60XGVCM5NM73D1JESPW8FRNT,105,2394995,2022-12-02 11:59:20 UTC,,,
0F60XGXN6RJ7SEC4F0B91ZB314,106,2394995,2022-12-02 11:59:27 UTC,,,
0F60XH00RKKBNAQSQQGF5XHS49,105,2394995,2022-12-02 11:59:35 UTC,,,
0F60XH2BJEJ5SAMEV23X044NYT,105,2394995,2022-12-02 11:59:42 UTC,,,
0F60XH4RMQMSZ93EMR25JBG726,103,2394995,2022-12-02 11:59:50 UTC,,,
0F60XH70Y4V34DD9W266FBTQ9M,102,2394995,2022-12-02 11:59:58 UTC,,,
0F60XH9BM1CXVE7ZSN06BAC8Q2,101,2394995,2022-12-02 12:00:05 UTC,,,
0F60XHBQR0A94Q9JY619ER3Y26,101,2394995,2022-12-02 12:00:13 UTC,,,
0F60XHE5WVZ07K0610PJV90Q71,100,2394995,2022-12-02 12:00:21 UTC,,,
0F60XHGH82Y4RFKBHXYB9KW2AQ,100,2394995,2022-12-02 12:00:29 UTC,,,
0F60XHHG9RW09MS3DMVFM41ASB,100,2394995,2022-12-02 12:00:32 UTC,,,
0F60XHKX0PGBM5S8PYJ2FR021Y,99,2394995,2022-12-02 12:00:40 UTC,,,
0F60XHP9FQP1XR4JJ8VYB2NS7M,99,2394995,2022-12-02 12:00:48 UTC,,,
0F60XHRMZ18TF7N1T8QYE96C7X,99,2394995,2022-12-02 12:00:55 UTC,,,
0F60XHTYGA9DX42VDN65JERV6C,99,2394995,2022-12-02 12:01:03 UTC,,,
0F60XHX5VVJGPVY9MH0FNX94KR,100,2394995,2022-12-02 12:01:10 UTC,,,
0F60XHZF1WP9HEWD2M0GNCF9CJ,100,2394995,2022-12-02 12:01:18 UTC,,,
0F60XJ1R9VAPW9EV2VK253H8G2,100,2394995,2022-12-02 12:01:25 UTC,,,
0F60XJ44J240B8Q8HAPZYE0RK4,99,2394995,2022-12-02 12:01:33 UTC,,,
0F60XJ6GKDDC4MRDTJW914H8QJ,99,2394995,2022-12-02 12:01:41 UTC,,,
0F60XJ7D7EE45KFGFGNTHGD54A,98,2394995,2022-12-02 12:01:44 UTC,,,
0F60XJ9S9VQPV3HCHED9N9SZ2E,98,2394995,2022-12-02 12:01:52 UTC,,,
0F60XJC006N8AC3RTK5J0PPYN0,98,2394995,2022-12-02 12:01:59 UTC,,,
0F60XJEBDV7H4CY0NTFMHTXF8H,98,2394995,2022-12-02 12:02:07 UTC,,,
0F60XJGPTKE042WB6N2M93GR3D,98,2394995,2022-12-02 12:02:14 UTC,,,
