id,value,feed_id,created_at,lat,lon,ele
0F60XN0K4K8VY3TMC80QRVFRV9,280,2394996,2022-12-02 12:06:36 UTC,,,
0F60XN2W1KVMJXYMKKMJKZGNYC,280,2394996,2022-12-02 12:06:43 UTC,,,
0F60XN568F1WDHZ73MJ9VNAEP3,279,2394996,2022-12-02 12:06:51 UTC,,,
0F60XN7EN5J97Z2YXB3ZTTSRDQ,279,2394996,2022-12-02 12:06:58 UTC,,,
0F60XN9S04ZFH70THQ2D8QPC89,277,2394996,2022-12-02 12:07:06 UTC,,,
0F60XNC27X3Y46E82H4P9BW9MH,277,2394996,2022-12-02 12:07:14 UTC,,,
0F60XNEC3AD54K3EZE7W5WHR6Y,277,2394996,2022-12-02 12:07:21 UTC,,,
0F60XNGPBF4BSBVMH9WAR20Q8X,277,2394996,2022-12-02 12:07:29 UTC,,,
0F60XNJZBGEHEFXJXZZWZ24HQE,277,2394996,2022-12-02 12:07:36 UTC,,,
0F60XNNANRC66X5DD6PFDYE5SM,276,2394996,2022-12-02 12:07:44 UTC,,,
0F60XNQMJ02N3EY6A8T3G881H8,276,2394996,2022-12-02 12:07:52 UTC,,,
0F60XNT0RHH9YB3H72EJXV0APH,276,2394996,2022-12-02 12:07:59 UTC,,,
0F60XNWBPV66DQTZ7KDEQAD974,276,2394996,2022-12-02 12:08:07 UTC,,,
0F60XNYPCRBRNY8E00R8BVA7AB,275,2394996,2022-12-02 12:08:15 UTC,,,
0F60XP10NPHSKV0EMDFFKTDFTF,276,2394996,2022-12-02 12:08:22 UTC,,,
0F60XP3DVXDE9NJ3JKSAF3HMQ8,276,2394996,2022-12-02 12:08:30 UTC,,,
0F60XP5S0JHPRPY2QSX80MNZJY,275,2394996,2022-12-02 12:08:38 UTC,,,
0F60XP80CAXTDW5FQ4WASGVY68,275,2394996,2022-12-02 12:08:45 UTC,,,
0F60XPA882X12H2PDATRH2P7JM,275,2394996,2022-12-02 12:08:53 UTC,,,
0F60XPCGVB26MC4XEJAR1JP66X,275,2394996,2022-12-02 12:09:00 UTC,,,
0F60XPEVH4BAKFZTW6RJQ56B0C,274,2394996,2022-12-02 12:09:08 UTC,,,
0F60XPH59HZNPZASMZN979KMQY,273,2394996,2022-12-02 12:09:15 UTC,,,
0F60XPKHHKYACQXEF1M4RY5RYC,273,2394996,2022-12-02 12:09:23 UTC,,,
0F60XPNV35QFZ00JQJHRHGMDHM,271,2394996,2022-12-02 12:09:30 UTC,,,
0F60XPR35JWMTZDXN23SADTTAZ,270,2394996,2022-12-02 12:09:38 UTC,,,
0F60XPTBQCKG1J9XAXTYKCY5QZ,271,2394996,2022-12-02 12:09:45 UTC,,,
0F60XPWKPM68WK75DG2XYTZAPP,268,2394996,2022-12-02 12:09:53 UTC,,,
0F60XPYWF9GJHMZDH7QK3CM7Z3,269,2394996,2022-12-02 12:10:00 UTC,,,
0F60XQ13E5QRQWQH33AQ1J53CG,268,2394996,2022-12-02 12:10:07 UTC,,,
0F60XQ3DPGXHB3B2NZZHP52N8E,267,2394996,2022-12-02 12:10:15 UTC,,,
0F60XQ5NZPEKRSBJCXX5FCWAZ2,267,2394996,2022-12-02 12:10:22 UTC,,,
0F60XQ81V0KFCVHK6CN2Y7ADKK,267,2394996,2022-12-02 12:10:30 UTC,,,
0F60XQACT47A58HTEF8D7ZA4ES,267,2394996,2022-12-02 12:10:38 UTC,,,
0F60XQCN4RDM00RWDJKMAY78P9,266,2394996,2022-12-02 12:10:45 UTC,,,
0F60XQF176X4YCG32424C1APMJ,263,2394996,2022-12-02 12:10:53 UTC,,,
0F60XQHFH66F0B2SKTSWPYSK1M,260,2394996,2022-12-02 12:11:01 UTC,,,
0F60XQKPTHJCQR5RBR8SYW5H4E,259,2394996,2022-12-02 12:11:08 UTC,,,
0F60XQP4WTN7RE6G6VJJNQF966,260,2394996,2022-12-02 12:11:16 UTC,,,
0F60XQQ1P2TCCJ0R6S2XVPYDY0,260,2394996,2022-12-02 12:11:19 UTC,,,
0F60XQSBZJA3VJ56734M5QVKXD,257,2394996,2022-12-02 12:11:27 UTC,,,
0F60XQVNNP9MFWVA2Z2S9NTJG8,256,2394996,2022-12-02 12:11:34 UTC,,,
0F60XQY2CJAXG56Q9X1AKMVYD3,255,2394996,2022-12-02 12:11:42 UTC,,,
0F60XQZ2HAHRDT0QAQ8ZKMJFSH,255,2394996,2022-12-02 12:11:46 UTC,,,
0F60XR1B9FPP7DYYWDCAQG507T,255,2394996,2022-12-02 12:11:53 UTC,,,
0F60XR3NBQ5B3PWA0J3YD6CNTC,256,2394996,2022-12-02 12:12:01 UTC,,,
0F60XR5YKC8CQZYSS5SS6QVPXD,255,2394996,2022-12-02 12:12:08 UTC,,,
0F60XR88MEZW9ZRBM5B84JJ4HQ,254,2394996,2022-12-02 12:12:16 UTC,,,
0F60XRAJG24Z2MJ13FS9Q6GBYB,254,2394996,2022-12-02 12:12:23 UTC,,,
0F60XRCWZMDADNZGYQ0CKSSJ0T,252,2394996,2022-12-02 12:12:31 UTC,,,
0F60XRDY8ANPV13HX2ZMRD262N,253,2394996,2022-12-02 12:12:34 UTC,,,
